No,Employee ID,PunchDatetime,Device No,Status
136,13000722,2023-10-22T12:42:40,26,01
137,13000321,2023-10-22T12:44:19,26,01
138,13000679,2023-10-22T12:45:08,26,01
139,13000019,2023-10-22T13:00:33,26,01
141,13000735,2023-10-22T20:58:30,26,01
142,13991415,2023-10-22T21:00:01,26,01
143,13000751,2023-10-22T21:00:09,26,01
144,13000583,2023-10-22T21:00:14,26,01
145,13000563,2023-10-22T21:00:36,26,01
146,13991375,2023-10-22T21:01:46,26,01
127,13000583,2023-10-22T11:53:16,26,01
128,13000735,2023-10-22T11:53:31,26,01
129,13000085,2023-10-22T11:54:37,26,01
130,13991415,2023-10-22T12:01:11,26,01
131,13000031,2023-10-22T12:01:35,26,01
132,13000751,2023-10-22T12:01:40,26,01
133,13991423,2023-10-22T12:02:15,26,01
134,13991375,2023-10-22T12:15:03,26,01
135,13000563,2023-10-22T12:16:18,26,01
140,13000393,2023-10-22T13:08:08,26,01
156,13000735,2023-10-23T09:50:46,26,01
172,13000186,2023-10-23T15:47:32,27,01
177,13000186,2023-10-23T21:00:42,27,01
178,13000075,2023-10-23T21:09:14,26,01
179,13000583,2023-10-23T21:30:22,26,01
180,13000722,2023-10-23T22:02:55,26,01
181,13000321,2023-10-23T22:03:13,26,01
182,13000019,2023-10-23T22:03:38,26,01
183,13991415,2023-10-23T22:03:45,26,01
185,13000676,2023-10-23T23:55:44,27,01
158,13000393,2023-10-23T10:05:08,26,01
161,13000075,2023-10-23T12:24:10,26,01
155,13000023,2023-10-23T09:26:42,26,01
162,13000722,2023-10-23T12:40:17,26,01
184,13000393,2023-10-23T22:11:33,26,01
160,13000583,2023-10-23T10:30:30,26,01
176,13000748,2023-10-23T20:15:18,27,01
157,13000751,2023-10-23T09:58:16,26,01
159,13991415,2023-10-23T10:13:37,26,01
163,13000019,2023-10-23T13:00:34,26,01
164,13000321,2023-10-23T13:06:41,26,01
167,13000186,2023-10-23T15:00:05,27,01
168,13000676,2023-10-23T15:03:31,27,01
169,00001981,2023-10-23T15:06:26,27,01
170,00001981,2023-10-23T15:28:31,27,01
171,00001981,2023-10-23T15:38:15,27,01
173,13000751,2023-10-23T19:07:10,26,01
174,13000735,2023-10-23T19:09:32,26,01
175,13000023,2023-10-23T19:55:50,26,01
